asset,entry_day,hold_days,trades,win_rate_pct,avg_return_pct,median_return_pct,avg_win_pct,avg_loss_pct,profit_factor,expected_value_pct,worst_return_pct,best_return_pct,quality_score,payoff_ratio,loss_rate_pct,gross_profit_pct,gross_loss_pct,return_std_pct,downside_std_pct,sharpe_like,sortino_like,max_consecutive_losses,max_consecutive_wins
XRP,2,3,98,50.0,0.72,-0.06,5.08,-3.65,1.39,0.72,-12.73,18.02,76.54,1.39,50.0,248.86,178.61,5.78,2.98,0.12,0.24,7.0,4.0
XRP,2,4,97,48.45,0.7,-0.02,5.4,-3.72,1.37,0.7,-14.78,27.57,74.7,1.45,51.55,253.81,185.89,6.51,3.45,0.11,0.2,5.0,6.0
XRP,2,5,97,52.58,1.57,0.28,6.89,-4.33,1.76,1.57,-20.07,38.19,129.08,1.59,47.42,351.46,199.25,8.15,4.05,0.19,0.39,4.0,6.0
XRP,2,6,97,49.48,1.0,-0.07,8.09,-5.95,1.33,1.0,-30.06,62.35,86.48,1.36,50.52,388.48,291.41,10.79,5.74,0.09,0.17,7.0,6.0
XRP,2,7,97,46.39,1.34,-0.25,9.12,-5.39,1.47,1.34,-15.26,92.92,101.62,1.69,53.61,410.47,280.12,12.36,4.35,0.11,0.31,6.0,5.0
XRP,2,8,97,46.39,1.62,-1.04,10.4,-5.98,1.5,1.62,-17.89,77.79,113.31,1.74,53.61,467.79,310.98,12.36,4.68,0.13,0.35,7.0,4.0
XRP,2,9,97,48.45,1.31,-0.48,10.44,-7.27,1.35,1.31,-22.07,67.21,98.8,1.44,51.55,490.82,363.68,12.55,5.2,0.1,0.25,6.0,4.0
XRP,2,10,97,49.48,1.32,-0.43,10.53,-7.7,1.34,1.32,-23.87,59.04,99.22,1.37,50.52,505.21,377.51,13.12,5.34,0.1,0.25,6.0,5.0
XRP,3,1,98,52.04,0.53,0.08,3.45,-2.64,1.41,0.53,-11.68,34.27,80.11,1.3,47.96,175.76,124.29,5.05,2.23,0.1,0.24,4.0,5.0
XRP,3,2,98,52.04,0.57,0.11,4.15,-3.32,1.36,0.57,-12.13,14.23,80.65,1.25,47.96,211.75,156.12,4.96,3.04,0.11,0.19,5.0,7.0
XRP,3,3,97,48.45,0.56,-0.12,5.39,-3.98,1.27,0.56,-14.79,28.91,67.36,1.36,51.55,253.36,198.82,6.36,3.38,0.09,0.17,4.0,4.0
XRP,3,4,97,52.58,1.46,0.61,6.85,-4.52,1.68,1.46,-20.62,39.65,122.97,1.52,47.42,349.47,208.0,8.49,3.82,0.17,0.38,4.0,6.0
XRP,3,5,97,48.45,0.88,-0.26,8.13,-5.94,1.29,0.88,-26.37,64.07,80.19,1.37,51.55,382.03,296.96,10.95,5.54,0.08,0.16,5.0,5.0
XRP,3,6,97,43.3,1.24,-0.97,9.73,-5.24,1.42,1.24,-15.4,94.96,95.29,1.86,56.7,408.73,288.39,12.69,4.19,0.1,0.3,7.0,4.0
XRP,3,7,97,41.24,1.49,-0.9,11.28,-5.38,1.47,1.49,-19.87,79.67,105.58,2.1,58.76,451.4,306.73,12.47,4.56,0.12,0.33,7.0,4.0
XRP,3,8,97,43.3,1.19,-0.95,11.28,-6.51,1.32,1.19,-22.14,68.98,91.57,1.73,56.7,473.88,358.03,12.76,5.22,0.09,0.23,6.0,3.0
XRP,3,9,97,48.45,1.2,-1.01,10.55,-7.6,1.31,1.2,-23.94,60.72,93.38,1.39,51.55,495.96,379.85,13.29,4.98,0.09,0.24,6.0,5.0
XRP,3,10,97,46.39,2.08,-0.83,12.84,-7.23,1.54,2.08,-22.14,73.73,132.67,1.78,53.61,577.97,375.84,15.93,5.74,0.13,0.36,6.0,4.0
LINK,1,1,106,37.74,-0.63,-0.94,3.4,-3.07,0.67,-0.63,-14.42,12.26,3.36,1.11,62.26,135.83,202.48,4.2,2.73,-0.15,-0.23,7.0,3.0
LINK,1,2,106,38.68,-0.66,-1.05,4.96,-4.21,0.74,-0.66,-18.08,31.58,3.85,1.18,61.32,203.26,273.44,6.46,3.66,-0.1,-0.18,9.0,5.0
LINK,1,3,106,46.23,0.09,-0.48,6.27,-5.22,1.03,0.09,-20.3,31.19,42.61,1.2,53.77,307.01,297.75,7.85,4.52,0.01,0.02,7.0,5.0
LINK,1,4,105,47.62,0.16,-0.64,6.6,-5.7,1.05,0.16,-20.56,31.69,46.52,1.16,52.38,330.23,313.43,8.2,4.71,0.02,0.03,7.0,5.0
LINK,1,5,105,43.81,0.0,-0.9,8.22,-6.4,1.0,0.0,-25.98,32.31,37.72,1.28,56.19,377.97,377.53,9.71,5.78,0.0,0.0,7.0,6.0
LINK,1,6,105,48.57,0.63,-0.52,8.53,-6.83,1.18,0.63,-21.61,45.36,68.26,1.25,51.43,434.97,368.72,10.31,4.93,0.06,0.13,5.0,7.0
LINK,1,7,105,50.48,0.13,0.02,8.37,-8.26,1.03,0.13,-28.84,39.0,56.22,1.01,49.52,443.44,429.35,11.19,6.09,0.01,0.02,5.0,9.0
LINK,1,8,105,47.62,-0.26,-0.85,9.01,-8.69,0.94,-0.26,-28.55,38.93,27.45,1.04,52.38,450.64,478.06,11.36,5.98,-0.02,-0.04,5.0,6.0
LINK,1,9,105,50.48,-0.05,0.07,9.18,-9.46,0.99,-0.05,-24.33,34.86,47.77,0.97,49.52,486.35,492.1,12.2,6.51,-0.0,-0.01,5.0,6.0
LINK,1,10,105,47.62,0.25,-0.32,10.97,-9.5,1.05,0.25,-28.65,49.27,49.85,1.15,52.38,548.46,522.68,13.34,6.98,0.02,0.04,5.0,6.0
LINK,2,1,106,46.23,-0.04,-0.19,3.57,-3.14,0.98,-0.04,-8.38,20.68,36.63,1.14,53.77,175.08,178.89,4.79,2.46,-0.01,-0.01,7.0,5.0
LINK,2,2,106,53.77,0.73,0.77,5.23,-4.52,1.35,0.73,-18.79,20.33,87.47,1.16,46.23,298.38,221.49,6.65,3.94,0.11,0.18,5.0,6.0
LINK,2,3,105,57.14,0.79,0.89,5.56,-5.57,1.33,0.79,-15.5,20.79,91.18,1.0,42.86,333.62,250.45,7.25,4.23,0.11,0.19,7.0,6.0
LINK,2,4,105,56.19,0.63,1.05,6.45,-6.83,1.21,0.63,-26.24,29.63,81.88,0.94,43.81,380.49,314.35,8.87,5.53,0.07,0.11,4.0,10.0
LINK,2,5,105,55.24,1.26,1.06,7.67,-6.65,1.42,1.26,-21.89,35.03,111.08,1.15,44.76,444.95,312.39,9.38,5.19,0.13,0.24,4.0,5.0
LINK,2,6,105,53.33,0.77,1.23,8.15,-7.66,1.22,0.77,-26.57,29.12,86.45,1.06,46.67,456.18,375.32,10.48,6.38,0.07,0.12,4.0,13.0
LINK,2,7,105,44.76,0.39,-1.45,9.83,-7.25,1.1,0.39,-29.85,29.41,55.58,1.36,55.24,462.02,420.76,10.92,6.18,0.04,0.06,7.0,6.0
LINK,2,8,105,51.43,0.62,0.37,9.54,-8.82,1.15,0.62,-25.72,38.16,78.34,1.08,48.57,515.13,449.86,12.06,6.29,0.05,0.1,7.0,5.0
