asset,episode_id,start_date,end_date,duration_days,start_close,end_close,min_close,max_close,start_rsi2,end_rsi2,min_rsi2,ret_day1_hold3_pct,ret_day2_hold3_pct,ret_day3_hold3_pct,ret_after_episode_hold3_pct
QQQ,QQQ_20,2026-01-30,2026-02-01,3,619.38,618.99,618.99,619.38,0.0,0.0,0.0,1.42,-0.68,-1.86,-6.13
QQQ,QQQ_21,2026-02-04,2026-02-05,2,607.49,589.65,589.65,607.49,0.0,0.0,0.0,0.69,3.21,,0.94
QQQ,QQQ_22,2026-02-11,2026-02-14,4,610.93,596.52,596.52,610.93,6.32,0.0,0.0,-2.36,-0.6,0.48,0.86
QQQ,QQQ_23,2026-02-27,2026-02-28,2,604.61,601.49,601.49,604.61,0.0,0.0,0.0,0.34,-0.2,,1.85
QQQ,QQQ_24,2026-03-06,2026-03-08,3,600.04,589.91,589.91,600.04,0.0,0.0,0.0,0.86,1.84,2.5,-1.48
QQQ,QQQ_25,2026-03-12,2026-03-15,4,596.23,588.62,588.62,596.23,0.0,0.0,0.0,-1.28,1.13,2.51,-0.53
QQQ,QQQ_26,2026-03-21,2026-03-22,2,583.4,583.4,583.4,583.4,0.0,0.0,0.0,0.8,0.62,,-2.02
QQQ,QQQ_27,2026-03-25,2026-03-28,4,587.0,560.8,560.48,587.0,7.14,2.01,0.0,-4.46,-2.59,-0.39,4.03
QQQ,QQQ_28,2026-04-04,2026-04-04,1,579.96,579.96,579.96,579.96,0.0,0.0,0.0,4.0,,,4.36
QQQ,QQQ_29,2026-04-28,2026-04-29,2,658.93,657.98,657.98,658.93,0.0,0.0,0.0,2.37,1.96,,0.91
QQQ,QQQ_30,2026-05-16,2026-05-16,1,705.6,705.6,705.6,705.6,0.0,0.0,0.0,-0.41,,,-0.21
QQQ,QQQ_31,2026-05-19,2026-05-19,1,702.73,702.73,702.73,702.73,0.0,0.0,0.0,1.64,,,1.93
QQQ,QQQ_32,2026-06-04,2026-06-05,2,735.49,701.72,701.72,735.49,0.0,0.0,0.0,-4.25,1.93,,0.03
QQQ,QQQ_33,2026-06-10,2026-06-10,1,688.94,688.94,688.94,688.94,0.0,0.0,0.0,4.81,,,1.59
QQQ,QQQ_34,2026-06-17,2026-06-17,1,728.85,728.85,728.85,728.85,0.0,0.0,0.0,1.46,,,-1.03
QQQ,QQQ_35,2026-06-21,2026-06-21,1,732.2,732.2,732.2,732.2,2.81,2.81,2.81,-1.0,,,-2.4
QQQ,QQQ_36,2026-06-26,2026-06-27,2,706.52,706.61,706.52,706.61,0.0,0.78,0.0,0.01,0.0,,0.0
GLD,GLD_1,2025-09-18,2025-09-18,1,335.84,335.84,335.84,335.84,0.0,0.0,0.0,2.97,,,2.51
GLD,GLD_2,2025-10-18,2025-10-18,1,392.83,392.83,392.83,392.83,0.0,0.0,0.0,-4.8,,,-5.63
GLD,GLD_3,2025-10-22,2025-10-22,1,373.98,373.98,373.98,373.98,0.0,0.0,0.0,1.39,,,-3.26
GLD,GLD_4,2025-10-25,2025-10-29,4,379.16,363.56,363.56,379.16,0.0,0.0,0.0,-4.11,0.0,0.35,-0.1
GLD,GLD_5,2025-11-01,2025-11-01,1,366.26,366.26,366.26,366.26,0.0,0.0,0.0,1.48,,,0.98
